AGENCY,DATE,DESTINATION,PAX,TYPE,COST,STATUS
MILAN,01/01/2023,PPC - EN,8,PRIVATE,5000,
MILAN,01/01/2023,PPC - EN,6,SHARED,3000,
MILAN,02/01/2023,PPC - EN,3,SHARED,1500,
MILAN,02/01/2023,PPC - EN,2,SHARED,1000,
MILAN,02/01/2023,EN - PPC,11,PRIVATE,5000,
MILAN,02/01/2023,EN - PPC,7,SHARED,3500,
MILAN,02/01/2023,EN - PPC,7,SHARED,3500,
MILAN,02/01/2023,PPC - EN,5,SHARED,2500,
MILAN,02/01/2023,PPC - EN,9,SHARED,4500,
MILAN,02/01/2023,EN - PPC,12,PRIVATE,5000,
MILAN,03/01/2023,EN - PPC,7,SHARED,3500,
MILAN,03/01/2023,PPC - EN,3,SHARED,1500,
MILAN,03/01/2023,PPC - EN,2,SHARED,1000,
MILAN,03/01/2023,PPC - EN,4,SHARED,2000,
MILAN,03/01/2023,EN - PPC,2,SHARED,1000,
MILAN,03/01/2023,EN - PPC,2,SHARED,1000,
MILAN,03/01/2023,EN - PPC,2,SHARED,1000,
MILAN,03/01/2023,PPC - EN,7,SHARED,2500,
MILAN,03/01/2023,PPC - EN,4,SHARED,2000,
MILAN,03/01/2023,PPC - EN,3,SHARED,1000,
MILAN,03/01/2023,EN - PPC,11,PRIVATE,5000,
MILAN,05/01/2023,EN - PPC,3,SHARED,1500,
MILAN,05/01/2023,EN - PPC,2,SHARED,1000,
MILAN,05/01/2023,EN - PPC,5,PRIVATE,5000,
MILAN,06/01/2023,PPC - EN,4,PRIVATE,5000,
MILAN,06/01/2023,PPC - EN,2,SHARED,1000,
MILAN,07/01/2023,PPC - EN,2,SHARED,1000,
MILAN,07/01/2023,PPC - EN,6,SHARED,3000,
MILAN,07/01/2023,EN - PPC,2,SHARED,1000,
MILAN,07/01/2023,EN - PPC,2,SHARED,1000,
MILAN,07/01/2023,PPC - EN,8,SHARED,4000,
MILAN,07/01/2023,EN - PPC,7,PRIVATE,5000,
BAYVIEW,07/01/2023,DROP OFF AIRPORT,4,PRIVATE,1000,
MILAN,07/01/2023,PPC - EN,4,SHARED,2000,
MILAN,08/01/2023,PPC - EN,4,SHARED,2000,
MILAN,08/01/2023,EN - PPC,2,SHARED,1000,
MILAN,08/01/2023,EN - PPC,2,SHARED,1000,
MILAN,08/01/2023,PPC - EN,2,SHARED,1000,
MILAN,09/01/2023,PPC - EN,5,SHARED,2500,
MILAN,09/01/2023,PPC - EN,5,SHARED,2500,
MILAN,09/01/2023,PPC - EN,2,SHARED,1000,
MILAN,09/01/2023,PPC - EN,4,SHARED,2000,
MILAN,09/01/2023,PPC - EN,4,SHARED,2000,
MILAN,09/01/2023,EN - PPC,2,SHARED,1000,
MILAN,10/01/2023,EN - PPC,2,SHARED,1000,
MILAN,10/01/2023,EN - PPC,4,SHARED,2000,
MILAN,01/02/2023,EN - PPC,5,PRIVATE,5000,
MILAN,01/02/2023,PPC - EN,8,SHARED,4000,
MILAN,02/02/2023,PPC - EN,4,SHARED,2000,
MILAN,02/02/2023,PPC - EN,5,SHARED,2500,
MILAN,02/02/2023,EN - PPC,2,SHARED,1000,
MILAN,02/02/2023,EN - PPC,4,SHARED,2000,
MILAN,02/02/2023,EN - PPC,10,SHARED,4500,
MILAN,02/02/2023,EN - PPC,3,SHARED,1500,
MILAN,02/02/2023,PPC - EN,2,SHARED,1000,
MILAN,03/02/2023,PPC - EN,5,SHARED,2500,
MILAN,03/02/2023,EN - PPC,5,SHARED,2500,
MILAN,03/02/2023,EN - PPC,4,SHARED,2000,
BAYVIEW,03/02/2023,PPC - EN,6,PRIVATE,5000,
BAYVIEW,03/02/2023,EN - PPC,2,SHARED,1000,
BAYVIEW,03/02/2023,DROP OFF AIRPORT,5,PRIVATE,1000,
MILAN,03/02/2023,PPC - EN,10,PRIVATE,5000,
MILAN,03/02/2023,EN - PPC,6,SHARED,3000,
MILAN,03/02/2023,EN - PPC,2,SHARED,1000,
MILAN,07/02/2023,EN - PPC,3,SHARED,1000,
MILAN,07/02/2023,PPC - EN,3,SHARED,1000,
MILAN,07/02/2023,EN - PPC,4,SHARED,2000,
MILAN,07/02/2023,EN - PPC,9,SHARED,4500,
MILAN,07/02/2023,EN - PPC,5,SHARED,2500,
MILAN,07/02/2023,EN - PPC,6,SHARED,3000,
MILAN,08/02/2023,EN - PPC,2,SHARED,1000,
MILAN,08/02/2023,PPC - EN,2,SHARED,1000,
MILAN,08/02/2023,PPC - EN,2,SHARED,1000,
MILAN,08/02/2023,PPC - EN,3,SHARED,1500,
MILAN,08/02/2023,PPC - EN,2,SHARED,1000,
MILAN,09/02/2023,PPC - EN,2,SHARED,1000,
MILAN,10/02/2023,PPC - EN,6,SHARED,3000,
MILAN,10/02/2023,PPC - EN,4,SHARED,2000,
MILAN,11/02/2023,EN - PPC,7,SHARED,3500,
BAYVIEW,01/03/2023,PICK UP AIRPORT,2,PRIVATE,1000,
MILAN,01/03/2023,EN - PPC,3,SHARED,1500,
MILAN,02/03/2023,PPC - EN,11,PRIVATE,5000,
MILAN,02/03/2023,PPC - EN,2,SHARED,1000,
MILAN,02/03/2023,PPC - EN,2,SHARED,1000,
MILAN,02/03/2023,PPC - EN,2,SHARED,1000,
MILAN,02/03/2023,EN - PPC,4,SHARED,2000,
MILAN,02/03/2023,EN - PPC,3,SHARED,1500,
MILAN,02/03/2023,PPC - EN,2,SHARED,1000,
MILAN,03/03/2023,EN - PPC,4,SHARED,2000,
MILAN,03/03/2023,PPC - EN,6,SHARED,3000,
BAYVIEW,03/03/2023,INLAND TOUR,7,PRIVATE,4000,
MILAN,03/03/2023,PPC - EN,6,PRIVATE,5000,
MILAN,03/03/2023,PPC - EN,2,SHARED,1000,
MILAN,03/03/2023,PPC - EN,2,SHARED,1000,
MILAN,03/03/2023,PPC - EN,4,SHARED,2000,
MILAN,03/03/2023,PPC - EN,2,SHARED,1000,
MILAN,03/03/2023,PPC - EN,4,SHARED,2000,
MILAN,03/03/2023,DROP OFF AIRPORT,3,PRIVATE,1000,
MILAN,03/03/2023,EN - PPC,4,SHARED,2000,
MILAN,03/03/2023,EN - PPC,4,SHARED,2000,
MILAN,03/03/2023,PPC - EN,2,SHARED,1000,
MILAN,03/03/2023,EN - PPC,5,SHARED,2500,
MILAN,03/03/2023,EN - PPC,7,PRIVATE,5000,
MILAN,03/03/2023,EN - PPC,2,SHARED,1000,
MILAN,03/03/2023,EN - PPC,3,SHARED,1500,
MILAN,03/03/2023,EN - PPC,8,SHARED,4000,
MILAN,03/03/2023,PPC - EN,2,SHARED,1000,
MILAN,03/03/2023,EN - PPC,6,PRIVATE,5000,
MILAN,03/03/2023,EN - PPC,2,SHARED,1000,
MILAN,03/03/2023,EN - PPC,5,SHARED,2500,
MILAN,03/03/2023,EN - PPC,6,SHARED,3000,
MILAN,06/03/2023,EN - PPC,2,SHARED,1000,
BAYVIEW,06/03/2023,PPC - EN,2,SHARED,1000,
BAYVIEW,07/03/2023,EN - PPC,7,SHARED,3000,
MILAN,07/03/2023,PPC - EN,8,SHARED,3500,
MILAN,07/03/2023,PPC - EN,5,SHARED,2500,
MILAN,07/03/2023,PPC - EN,4,SHARED,2000,
MILAN,08/03/2023,EN - PPC,10,PRIVATE,5000,
MILAN,08/03/2023,PPC - EN,14,PRIVATE,5500,
MILAN,08/03/2023,PPC - EN,14,PRIVATE,6000,
MILAN,08/03/2023,PICK UP AIRPORT,9,PRIVATE,1000,
MILAN,08/03/2023,EN - PPC,2,SHARED,1000,
MILAN,08/03/2023,EN - PPC,2,SHARED,1000,
MILAN,08/03/2023,PPC - EN,7,SHARED,3500,
MILAN,08/03/2023,EN - PPC,2,PRIVATE,5000,
MILAN,08/03/2023,EN - PPC,2,SHARED,1000,
MILAN,08/03/2023,EN - PPC,2,SHARED,1000,
MILAN,09/03/2023,EN - PPC,5,SHARED,2500,
MILAN,09/03/2023,PPC - EN,2,SHARED,1000,
MILAN,09/03/2023,EN - PPC,6,PRIVATE,5000,
MILAN,09/03/2023,EN - PPC,4,SHARED,2000,
MILAN,09/03/2023,EN - PPC,4,SHARED,2000,
MILAN,09/03/2023,EN - PPC,2,SHARED,1000,
BAYVIEW,09/03/2023,PPC - EN,2,SHARED,1000,
BAYVIEW,10/03/2023,EN - PPC,2,SHARED,1000,
MILAN,10/03/2023,EN - PPC,4,SHARED,2000,
MILAN,10/03/2023,EN - PPC,2,SHARED,1000,
MILAN,10/03/2023,PPC - EN,2,SHARED,1000,
MILAN,11/03/2023,PPC - EN,6,SHARED,3000,
MILAN,11/03/2023,PPC - EN,4,SHARED,2000,
MILAN,12/03/2023,PPC - EN,2,SHARED,1000,
MILAN,01/04/2023,EN - PPC,11,PRIVATE,5000,
MILAN,01/04/2023,PPC - EN,6,SHARED,3000,
MILAN,02/04/2023,PPC - EN,2,SHARED,1000,
MILAN,02/04/2023,EN - PPC,2,SHARED,1000,
MILAN,02/04/2023,EN - PPC,2,SHARED,1000,
MILAN,02/04/2023,EN - PPC,2,SHARED,1000,
BAYVIEW,02/04/2023,EN - PPC,2,SHARED,1000,
MILAN,02/04/2023,EN - PPC,2,SHARED,1000,
MILAN,02/04/2023,EN - PPC,2,SHARED,1000,
MILAN,02/04/2023,EN - PPC,4,SHARED,2000,
MILAN,02/04/2023,EN - PPC,5,SHARED,2500,
MILAN,02/04/2023,EN - PPC,6,SHARED,3000,
MILAN,05/04/2023,EN - PPC,2,SHARED,1000,
MILAN,05/04/2023,EN - PPC,4,SHARED,2000,
MILAN,06/04/2023,PPC - EN,4,SHARED,2000,
MILAN,07/04/2023,PPC - EN,2,SHARED,1000,
MILAN,07/04/2023,PPC - EN,2,SHARED,1000,
MILAN,07/04/2023,EN - PPC,2,SHARED,1000,
MILAN,07/04/2023,PPC - EN ,2,SHARED,1000,
BAYVIEW,08/04/2023,EN - PPC,4,SHARED,2000,
BAYVIEW,08/04/2023,EN - PPC,2,SHARED,1000,
MILAN,08/04/2023,PPC - EN,2,SHARED,1000,
MILAN,08/04/2023,PPC - EN,9,SHARED,4500,
MILAN,08/04/2023,EN - PPC,4,SHARED,2000,
MILAN,08/04/2023,EN - PPC,8,SHARED,3500,
MILAN,09/04/2023,PPC - EN,1,SHARED,500,
MILAN,09/04/2023,EN - PPC,14,PRIVATE,5500,
MILAN,09/04/2023,EN - PPC,14,PRIVATE,6000,
MILAN,09/04/2023,EN - PPC,2,SHARED,1000,
MILAN,10/04/2023,EN - PPC,2,SHARED,1000,
MILAN,10/04/2023,PPC - EN,2,SHARED,1000,
MILAN,10/04/2023,PPC - EN,3,SHARED,1500,
MILAN,10/04/2023,EN - PPC,6,SHARED,3000,
MILAN,12/04/2023,EN - PPC,7,SHARED,3500,
MILAN,01/05/2023,EN - PPC,2,SHARED,1000,
MILAN,01/05/2023,PPC - EN,2,SHARED,1000,
BAYVIEW,01/05/2023,PICK UP AIRPORT,2,PRIVATE,1000,
MILAN,01/05/2023,PPC - EN,6,SHARED,3000,
MILAN,02/05/2023,EN - PPC,8,SHARED,4000,
MILAN,02/05/2023,PPC - EN,10,PRIVATE,5000,
MILAN,02/05/2023,PPC - EN,4,SHARED,2000,
MILAN,02/05/2023,PPC - EN,4,SHARED,2000,
MILAN,04/05/2023,EN - PPC,2,SHARED,1000,
MILAN,04/05/2023,EN - PPC,4,SHARED,2000,
MILAN,05/05/2023,EN - PPC,6,SHARED,3000,
MILAN,06/05/2023,PPC - EN,2,SHARED,1000,
MILAN,07/05/2023,EN - PPC,6,SHARED,3000,
MILAN,08/05/2023,EN - PPC,4,SHARED,2000,
MILAN,08/05/2023,PPC - EN,2,SHARED,1000,
MILAN,08/05/2023,PICK UP AIRPORT,3,PRIVATE,1000,
BAYVIEW,08/05/2023,PICK UP AIRPORT,2,PRIVATE,1000,
BAYVIEW,08/05/2023,PPC - EN,6,SHARED,3000,
BAYVIEW,08/05/2023,PPC - EN,2,SHARED,1000,
BAYVIEW,09/05/2023,PPC - EN,NULL,PRIVATE,4500,
MILAN,09/05/2023,PPC - EN,4,SHARED,2000,
MILAN,10/05/2023,PPC - EN,5,SHARED,2500,
MILAN,11/05/2023,PPC - EN,6,SHARED,2500,
MILAN,01/06/2023,EN - PPC,2,SHARED,1000,
MILAN,01/06/2023,EN - PPC,2,SHARED,1000,
MILAN,01/06/2023,EN - PPC,2,SHARED,1000,
MILAN,01/06/2023,PPC - EN,6,SHARED,3000,
MILAN,01/06/2023,EN - PPC,2,SHARED,1000,
MILAN,02/06/2023,EN - PPC,2,SHARED,1000,
CORAZON,02/06/2023,PPC - EN,2,PRIVATE,5000,
BAYVIEW,02/06/2023,EN - PPC,7,SHARED,3500,
ONE EL NIDO SUITE,02/06/2023,EN - PPC,3,PRIVATE,5500,
ONE EL NIDO SUITE,02/06/2023,EN - PPC,2,SHARED,1000,
ONE EL NIDO SUITE,02/06/2023,EN - PPC,4,SHARED,2000,
TARAWIS,02/06/2023,OFFICE - SEDA,3,PRIVATE,900,
FHERL,03/06/2023,MILAN GRACE INN,7,SHARED,3150,
FHERL,03/06/2023, FRENDZ HOSTEL,2,SHARED,900,
BAYVIEW,04/06/2023,PICK UP AIRPORT,2,PRIVATE,1000,
BAYVIEW,04/06/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
ST. JOHN,05/06/2023,PPC - EN,1,SHARED,550,
CORAZON,05/06/2023,DALUYON - LIO,2,PRIVATE,8500,
BAYVIEW,06/06/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
BAYVIEW,07/06/2023,PICK UP AIRPORT,4,PRIVATE,1000,
FRENDZ,07/06/2023,PPC - EN,3,SHARED,1500,
FRENDZ,07/06/2023,EN - PPC,1,SHARED,500,
FRENDZ,07/06/2023,EN - PPC,2,SHARED,1000,
FRENDZ,07/06/2023,EN - PPC,2,SHARED,1000,
FRENDZ,07/06/2023,EN - PPC,1,SHARED,500,
FRENDZ,07/06/2023,EN - PPC,2,SHARED,1000,
FRENDZ,07/06/2023,EN - PPC,3,SHARED,1500,
WE GO,07/06/2023,PPC - EN,4,SHARED,2000,
THUMPS UP,08/06/2023,PPC - EN,4,SHARED,2000,
BAYVIEW,08/06/2023,PPC - EN,2,SHARED,1000,
BAYVIEW,08/06/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
TERRA SANCTA,08/06/2023,PICK UP AIRPORT,4,SHARED,1200,
BAYVIEW,09/06/2023,PPC - EN,2,PRIVATE,5000,
BAYVIEW,09/06/2023,PPC - EN,2,SHARED,1000,
BAYVIEW,10/06/2023,PPC - EN,2,SHARED,1000,
BAYVIEW,10/06/2023,EN - PPC,2,SHARED,1000,
BAYVIEW,10/06/2023,EN - PPC,2,SHARED,1000,
BAYVIEW,10/06/2023,EN - PPC,2,SHARED,1000,
TERRA SANCTA,10/06/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
TERRA SANCTA,10/06/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
ONE EL NIDO SUITE,11/06/2023,EN - PPC,4,SHARED,2000,
CORAZON,11/06/2023,PPC - UR - SEDA - LIO,8,PRIVATE,9000,
CORAZON,01/07/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
MARK,01/07/2023,SHERYL MAY INN,2,SHARED,900,
BAYVIEW,01/07/2023,DROP OFF AIRPORT,4,PRIVATE,1000,
FRENDZ,01/07/2023,EN  - PPC,3,SHARED,1500,
FRENDZ,01/07/2023,EN - PPC ,2,SHARED,1000,
WE GO,01/07/2023,EN - PPC,2,SHARED,1000,
TERRA SANCTA,02/07/2023,PPC - EN,2,SHARED,1400,
BAYVIEW,02/07/2023,DROP OFF AIRPORT,3,PRIVATE,1000,
ONE EL NIDO SUITE,02/07/2023,EN - PPC,2,SHARED,1000,
ONE EL NIDO SUITE,02/07/2023,PPC - EN,2,SHARED,1000,
ONE EL NIDO SUITE,02/07/2023,EN - PPC,2,SHARED,1000,
CORAZON,02/07/2023,EN - PPC,2,PRIVATE,7500,
CORAZON,02/07/2023,DROP OFF AIRPORT,4,PRIVATE,1000,
FHERL,02/07/2023,CORAZON INN,2,PRIVATE,6000,
BAYVIEW,02/07/2023,EN - PPC,2,SHARED,1000,
ST. JOHN,02/07/2023,PPC - EN,2,SHARED,1100,
ST. JOHN,04/07/2023,EN - PPC,3,SHARED,5500,
ST. JOHN,07/07/2023,EN - PPC,4,SHARED,2200,
ST. JOHN,07/07/2023,EN - PPC,3,SHARED,1650,
ST. JOHN,07/07/2023,EN - PPC,2,SHARED,1100,
CORAZON,07/07/2023,PPC - EN,1,PRIVATE,5000,
CORAZON,08/07/2023,LIO - NACPAN,2,PRIVATE,3000,
CORAZON,08/07/2023,EN - PPC,1,SHARED,500,
CORAZON,08/07/2023,PPC - TAYTAY,2,PRIVATE,5000,
MARK,08/07/2023,LACASA,2,SHARED,900,
MARK,08/07/2023,MILAN,4,SHARED,1800,
FHERL,09/07/2023,PPC - EN,2,SHARED,900,
FHERL,09/07/2023,FRENDZ HOSTEL,1,SHARED,450,
FHERL,09/07/2023,FRENDZ HOSTEL,1,SHARED,450,
FHERL,09/07/2023,FRENDZ HOSTEL,1,SHARED,450,
TARAWIS,09/07/2023,EN - PPC,1,SHARED,450,
BAYVIEW,10/07/2023,PICK UP AIRPORT,2,PRIVATE,1000,
BAYVIEW,10/07/2023,DROP OFF AIRPORT,3,PRIVATE,1000,
FRENDZ,10/07/2023,EN -PPC,3,SHARED,1500,
FRENDZ,10/07/2023,EN -PPC,1,SHARED,500,
FRENDZ,10/07/2023,EN -PPC,1,SHARED,500,
FRENDZ,12/07/2023,EN -PPC,1,SHARED,500,
FRENDZ,12/07/2023,EN -PPC,1,SHARED,500,
WE GO,01/08/2023,EN - PPC,4,SHARED,2000,
BAYVIEW,01/08/2023,PPC - EN,2,SHARED,1000,
BAYVIEW,01/08/2023,DROP OFF AIRPORT,6,PRIVATE,1000,
CORAZON,01/08/2023,PPC - EN,2,SHARED,1000,
CORAZON,02/08/2023,EN - PPC,2,SHARED,1000,
FHERL,02/08/2023,SAN JOSE,2,SHARED,1100,
FHERL,02/08/2023,FRENDZ HOSTEL,1,SHARED,400,
FHERL,02/08/2023,MILAN GRACE INN,2,SHARED,900,
FHERL,02/08/2023,MILAN GRACE INN,2,SHARED,900,
FHERL,02/08/2023,CORAZON INN,2,SHARED,900,
FHERL,02/08/2023,FRENDZ HOSTEL,3,SHARED,1350,
BAYVIEW,02/08/2023,EN - PPC,11,PRIVATE,6000,
BAYVIEW,02/08/2023,PICK UP AIRPORT,2,PRIVATE,1000,
THUMPS UP,02/08/2023,EN -PPC,1,SHARED,500,
TERRA SANCTA,02/08/2023,PICK UP AIRPORT,2,SHARED,1200,
TERRA SANCTA,05/08/2023,DROP OFF AIRPORT,2,SHARED,1200,
BAYVIEW,05/08/2023,PPC - EN,4,PRIVATE,6000,
BAYVIEW,06/08/2023,EN - PPC,2,SHARED,1000,
ST. JOHN,06/08/2023,DROP OFF AIRPORT,5,PRIVATE,1000,
CORAZON,07/08/2023,PPC - EN,6,PRIVATE,5000,
CORAZON,07/08/2023,PICK UP AIRPORT,5,PRIVATE,1000,
BAYVIEW,08/08/2023,DROP OFF AIRPORT,4,PRIVATE,1000,
BLACKNIGHT,08/08/2023,PPC - EN,2,SHARED,1000,
THUMPS UP,08/08/2023,EN - PPC ,1,SHARED,500,
TERRA SANCTA,08/08/2023,DROP OFF AIRPORT,2,SHARED,1200,
LOFT VILLA,08/08/2023,DROP OFF AIRPORT,2,SHARED,1200,
BAYVIEW,09/08/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
BAYVIEW,09/08/2023,PICK UP AIRPORT,2,PRIVATE,1000,
BAYVIEW,09/08/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
ST. JOHN,10/08/2023,SAN VICENTE,2,SHARED,1100,
CORAZON,10/08/2023,DALUYON - KARUNA,4,PRIVATE,7500,
CORAZON,12/08/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
WE GO,01/09/2023,PPC - EN,9,SHARED,4500,
BAYVIEW,01/09/2023,PICK UP AIRPORT,2,PRIVATE,1000,
BAYVIEW,01/09/2023,PICK UP AIRPORT,5,PRIVATE,1000,
BAYVIEW,01/09/2023,PORT BARTON,2,SHARED,1000,
BLACKNIGHT,01/09/2023,PPC - EN,2,SHARED,1000,
THUMPS UP,01/09/2023,EN - PORT BARTON,2,SHARED,1100,
BLACKNIGHT,01/09/2023,PPC - EN,7,PRIVATE,5000,
THUMPS UP,01/09/2023,EN - PPC ,1,SHARED,500,
TERRA SANCTA,01/09/2023,EN - PPC,3,SHARED,7500,
TERRA SANCTA,02/09/2023,DROP OFF AIRPORT,4,SHARED,1200,
CORAZON,02/09/2023,EN - PPC,4,PRIVATE,5000,
CORAZON,02/09/2023,DROP OFF AIRPORT,8,PRIVATE,2000,
BAYVIEW,02/09/2023,PICK UP AIRPORT,2,PRIVATE,1000,
BAYVIEW,02/09/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
ST. JOHN,02/09/2023,PPC - EN,9,SHARED,4950,
ST. JOHN,02/09/2023,EN - PPC,1,SHARED,550,
CORAZON,02/09/2023,PPC - EN,2,PRIVATE,5000,
CORAZON,02/09/2023,PPC - EN,6,PRIVATE,5000,
CORAZON,02/09/2023,PICK UP AIRPORT,5,PRIVATE,1000,
CORAZON,05/09/2023,PICK UP AIRPORT,6,PRIVATE,1000,
CORAZON,07/09/2023,EN - PPC,3,SHARED,1500,
CORAZON,07/09/2023,EN - PPC,4,SHARED,2000,
CORAZON,07/09/2023,EN - PPC,2,SHARED,1000,
BAYVIEW,07/09/2023,DROP OFF AIRPORT,1,PRIVATE,1000,
BLACKNIGHT,07/09/2023,PPC - EN,2,SHARED,1000,
TERRA SANCTA,08/09/2023,PORT BARTON - EN,2,SHARED,1200,
TERRA SANCTA,08/09/2023,DROP OFF AIRPORT,2,SHARED,1200,
BAYVIEW,09/09/2023,PPC - EN ,2,SHARED,1000,
BAYVIEW,09/09/2023,DROP OFF AIRPORT,2,PRIVATE,1000,
TERRA SANCTA,09/09/2023,SEDA LIO,4,PRIVATE,1200,
ONE EL NIDO SUITE,09/09/2023,PPC - EN,2,SHARED,1000,
CORAZON,10/09/2023,PPC - EN,3,PRIVATE,5000,
CORAZON,11/09/2023,DROP OFF AIRPORT,5,PRIVATE,1000,
CORAZON,11/09/2023,PICK UP AIRPORT,2,PRIVATE,1200,
CORAZON,01/10/2023,EN - PPC,6,PRIVATE,5500,
CORAZON,01/10/2023,EN - PPC,5,SHARED,2700,
CORAZON,01/10/2023,EN - PPC,1,SHARED,500,
